category,likes
Autos & Vehicles,57369.39196787149
Comedy,182773.73438905884
Education,69741.88173076924
Entertainment,150842.17385611663
Film & Animation,76258.40082028336
Gaming,132901.46292505777
Howto & Style,70208.42966481921
Music,313836.166506824
News & Politics,13963.884286934244
Other,138073.91338582677
People & Blogs,127195.01896201036
Pets & Animals,18147.434782608696
Science & Technology,103288.81193124368
Sports,28102.36448508181
Travel & Events,44768.73093681917
